country,state,zipcode,tax_region_name,RiskLevel,state_rate,county_rate,city_rate,special_rate,combined_rate,medicinal_excise,adult_excise,has_medical_excise
US,AL,35004,MOODY,2,4,0,4,2,10,0,0,FALSE
US,AL,35005,ADAMSVILLE,1,4,1,4,1,10,0,0,FALSE
US,AL,35006,JEFFERSON COUNTY,2,4,1,0,1,6,0,0,FALSE
US,AL,35007,ALABASTER,1,4,1,4,0,9,0,0,FALSE
US,AL,35010,ALEXANDER,1,4,2,4,0,10,0,0,FALSE
US,AL,35013,ALLGOOD,1,4,3,3,0,10,0,0,FALSE
US,AL,35014,TALLADEGA COUNTY,1,4,3,0,0,7,0,0,FALSE
US,AL,35015,IRONDALE,1,4,1,4,1,10,0,0,FALSE
US,AL,35016,ARAB (MARSHALL CO),1,4,0,5,0,9,0,0,FALSE
US,AL,35019,CULLMAN COUNTY,1,4,4.5,0,0,8.5,0,0,FALSE
US,AL,35020,BESSEMER,2,4,1,4,1,10,0,0,FALSE
US,AL,35021,BESSEMER,1,4,1,4,1,10,0,0,FALSE
US,AL,35022,BESSEMER,4,4,1,4,1,10,0,0,FALSE
US,AL,35023,HUEYTOWN,4,4,1,4,1,10,0,0,FALSE
US,AL,35031,BLOUNT COUNTY,1,4,3,0,0,7,0,0,FALSE
US,AL,35032,BON AIR TOWN,1,4,1,0,0,5,0,0,FALSE
US,AL,35033,CULLMAN COUNTY,2,4,4.5,0,0,8.5,0,0,FALSE
US,AL,35034,BIBB COUNTY,1,4,4,0,0,8,0,0,FALSE
US,AL,35035,BIBB COUNTY,1,4,4,0,0,8,0,0,FALSE
US,AL,35036,GARDENDALE,2,4,1,4,1,10,0,0,FALSE
US,AL,35038,DORA,1,4,2,3,0,9,0,0,FALSE
US,AL,35040,CALERA (SHELBY CO),1,4,1,4,0,9,0,0,FALSE
US,AL,35042,CENTREVILLE,2,4,4,2,0,10,0,0,FALSE
US,AL,35043,CHELSEA,1,4,1,5,0,10,0,0,FALSE
US,AL,35044,CHILDERSBURG,2,4,1,4,0,9,0,0,FALSE
US,AL,35045,CLANTON,1,4,3,3,0,10,0,0,FALSE
US,AL,35046,CHILTON COUNTY,1,4,4,0,0,8,0,0,FALSE
US,AL,35048,CLAY,1,4,1,4,1,10,0,0,FALSE
US,AL,35049,CLEVELAND PJ,2,4,3,0,1,8,0,0,FALSE
US,AL,35051,SHELBY COUNTY,1,4,1,0,0,5,0,0,FALSE
US,AL,35052,ST. CLAIR COUNTY,1,4,0,0,2,6,0,0,FALSE
US,AL,35053,CULLMAN COUNTY,1,4,4.5,0,0,8.5,0,0,FALSE
US,AL,35054,ST. CLAIR COUNTY,1,4,0,0,2,6,0,0,FALSE
US,AL,35055,CULLMAN,3,4,4.5,0.5,0,9,0,0,FALSE
US,AL,35056,CULLMAN,1,4,4.5,0.5,0,9,0,0,FALSE
US,AL,35057,CULLMAN COUNTY,2,4,4.5,0,0,8.5,0,0,FALSE
US,AL,35058,CULLMAN COUNTY,1,4,4.5,0,0,8.5,0,0,FALSE
US,AL,35060,ADAMSVILLE PJ,1,4,1,0,3,8,0,0,FALSE
US,AL,35061,BIRMINGHAM (JEFFERSON CO),1,4,1,4,1,10,0,0,FALSE
