ZipCode,State,County,NormalizedCounty,City,NormalizedCity,TaxRegionName,NormalizedTaxRegionName,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate,EstimatedPopulation,Year,Month
90001,CA,"LOS ANGELES COUNTY",los-angeles-county,"LOS ANGELES",los-angeles,"LOS ANGELES COUNTY",los-angeles-county,9.500000,6.000000,0.250000,0.000000,3.250000,36200,2019,8
90002,CA,"LOS ANGELES COUNTY",los-angeles-county,"LOS ANGELES",los-angeles,"LOS ANGELES",los-angeles,9.500000,6.000000,0.250000,0.000000,3.250000,30920,2019,8
90003,CA,"LOS ANGELES COUNTY",los-angeles-county,"LOS ANGELES",los-angeles,"LOS ANGELES",los-angeles,9.500000,6.000000,0.250000,0.000000,3.250000,41878,2019,8
90004,CA,"LOS ANGELES COUNTY",los-angeles-county,"LOS ANGELES",los-angeles,"LOS ANGELES",los-angeles,9.500000,6.000000,0.250000,0.000000,3.250000,41632,2019,8
90005,CA,"LOS ANGELES COUNTY",los-angeles-county,"LOS ANGELES",los-angeles,"LOS ANGELES",los-angeles,9.500000,6.000000,0.250000,0.000000,3.250000,22281,2019,8
90006,CA,"LOS ANGELES COUNTY",los-angeles-county,"LOS ANGELES",los-angeles,"LOS ANGELES",los-angeles,9.500000,6.000000,0.250000,0.000000,3.250000,34995,2019,8
90007,CA,"LOS ANGELES COUNTY",los-angeles-county,"LOS ANGELES",los-angeles,"LOS ANGELES",los-angeles,9.500000,6.000000,0.250000,0.000000,3.250000,20179,2019,8
90008,CA,"LOS ANGELES COUNTY",los-angeles-county,"LOS ANGELES",los-angeles,"LOS ANGELES",los-angeles,9.500000,6.000000,0.250000,0.000000,3.250000,21174,2019,8
90009,CA,"LOS ANGELES COUNTY",los-angeles-county,"LOS ANGELES",los-angeles,"LOS ANGELES",los-angeles,9.500000,6.000000,0.250000,0.000000,3.250000,1715,2019,8
90010,CA,"LOS ANGELES COUNTY",los-angeles-county,"LOS ANGELES",los-angeles,"LOS ANGELES",los-angeles,9.500000,6.000000,0.250000,0.000000,3.250000,3294,2019,8
90011,CA,"LOS ANGELES COUNTY",los-angeles-county,"LOS ANGELES",los-angeles,"LOS ANGELES",los-angeles,9.500000,6.000000,0.250000,0.000000,3.250000,63123,2019,8
