country,state,zipcode,tax_region_name,RiskLevel,state_rate,county_rate,city_rate,special_rate,combined_rate,medicinal_excise,adult_excise,has_medical_excise
US,CO,80001,ARVADA (JEFFERSON CO),1,2.9,0.5,3.46,1.1,7.96,0,0,FALSE
US,CO,80002,ARVADA (JEFFERSON CO),1,2.9,0.5,3.46,1.1,7.96,0,0,FALSE
US,CO,80003,ARVADA (JEFFERSON CO),4,2.9,0.5,3.46,1.1,7.96,0,0,FALSE
US,CO,80004,ARVADA (JEFFERSON CO),1,2.9,0.5,3.46,1.1,7.96,0,0,FALSE
US,CO,80005,ARVADA (JEFFERSON CO),4,2.9,0.5,3.46,1.1,7.96,0,0,FALSE
US,CO,80006,ARVADA (JEFFERSON CO),1,2.9,0.5,3.46,1.1,7.96,0,0,FALSE
US,CO,80007,ARVADA (JEFFERSON CO),1,2.9,0.5,3.46,1.1,7.96,0,0,FALSE
US,CO,80010,AURORA (ADAMS CO),2,2.9,0.75,3.75,1.1,8.5,0,0,FALSE
US,CO,80011,AURORA (ARAPAHOE CO),2,2.9,0.25,3.75,1.1,8,0,0,FALSE
US,CO,80012,AURORA (ARAPAHOE CO),4,2.9,0.25,3.75,1.1,8,0,0,FALSE
US,CO,80013,AURORA (ARAPAHOE CO),2,2.9,0.25,3.75,1.1,8,0,0,FALSE
US,CO,80014,AURORA (ARAPAHOE CO),4,2.9,0.25,3.75,1.1,8,0,0,FALSE
US,CO,80015,AURORA (ARAPAHOE CO),4,2.9,0.25,3.75,1.1,8,0,0,FALSE
US,CO,80016,AURORA (ARAPAHOE CO),5,2.9,0.25,3.75,1.1,8,0,0,FALSE
US,CO,80017,AURORA (ARAPAHOE CO),2,2.9,0.25,3.75,1.1,8,0,0,FALSE
US,CO,80018,AURORA CD ONLY,2,2.9,0.25,3.75,0.1,7,0,0,FALSE
US,CO,80019,AURORA (ADAMS CO),2,2.9,0.75,3.75,1.1,8.5,0,0,FALSE
US,CO,80020,BROOMFIELD,4,2.9,0,4.15,1.1,8.15,0,0,FALSE
US,CO,80021,WESTMINSTER (JEFFERSON CO),4,2.9,0.5,3.85,1.1,8.35,0,0,FALSE
US,CO,80022,COMMERCE,4,2.9,0.75,4.5,1.1,9.25,0,0,FALSE
US,CO,80023,BROOMFIELD,5,2.9,0,4.15,1.1,8.15,0,0,FALSE
US,CO,80024,BROOMFIELD,1,2.9,0,4.15,1.1,8.15,0,0,FALSE
US,CO,80025,BOULDER CO REMAINDER,1,2.9,0.985,0,1.1,4.985,0,0,FALSE
US,CO,80026,LAFAYETTE,1,2.9,0.985,3.5,1.1,8.485,0,0,FALSE
US,CO,80027,LOUISVILLE,2,2.9,0.985,3.65,1.1,8.635,0,0,FALSE
US,CO,80030,WESTMINSTER (ADAMS CO),3,2.9,0.75,3.85,1.1,8.6,0,0,FALSE
US,CO,80031,WESTMINSTER (ADAMS CO),3,2.9,0.75,3.85,1.1,8.6,0,0,FALSE
US,CO,80033,WHEAT RIDGE,3,2.9,0.5,3.5,1.1,8,0,0,FALSE
US,CO,80034,WHEAT RIDGE,2,2.9,0.5,3.5,1.1,8,0,0,FALSE
US,CO,80035,WESTMINSTER (ADAMS CO),3,2.9,0.75,3.85,1.1,8.6,0,0,FALSE
US,CO,80036,WESTMINSTER (ADAMS CO),3,2.9,0.75,3.85,1.1,8.6,0,0,FALSE
US,CO,80037,COMMERCE,1,2.9,0.75,4.5,1.1,9.25,0,0,FALSE
US,CO,80038,BROOMFIELD,3,2.9,0,4.15,1.1,8.15,0,0,FALSE
US,CO,80040,AURORA (ADAMS CO),2,2.9,0.75,3.75,1.1,8.5,0,0,FALSE
US,CO,80041,AURORA (ARAPAHOE CO),2,2.9,0.25,3.75,1.1,8,0,0,FALSE
US,CO,80042,AURORA (ADAMS CO),2,2.9,0.75,3.75,1.1,8.5,0,0,FALSE
US,CO,80044,AURORA (ADAMS CO),2,2.9,0.75,3.75,1.1,8.5,0,0,FALSE
US,CO,80045,AURORA (ADAMS CO),2,2.9,0.75,3.75,1.1,8.5,0,0,FALSE
US,CO,80046,CENTENNIAL,2,2.9,0.25,2.5,1.1,6.75,0,0,FALSE
US,CO,80047,AURORA (ARAPAHOE CO),2,2.9,0.25,3.75,1.1,8,0,0,FALSE
US,CO,80101,ELBERT COUNTY,1,2.9,1,0,0,3.9,0,0,FALSE
US,CO,80102,ADAMS CO REMAINDER CULTUR,1,2.9,0.75,0,0.1,3.75,0,0,FALSE
US,CO,80103,ARAPAHOE CO REMAIND CULTU,1,2.9,0.25,0,0.1,3.25,0,0,FALSE
US,CO,80104,CASTLE ROCK,1,2.9,1,4,0,7.9,0,0,FALSE
