country,state,zipcode,tax_region_name,RiskLevel,state_rate,county_rate,city_rate,special_rate,combined_rate,medicinal_excise,adult_excise,has_medical_excise
US,DC,20001,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20002,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20003,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20004,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20005,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20006,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20007,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20008,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20009,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20010,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20011,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20012,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20013,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20015,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20016,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20017,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20018,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20019,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20020,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20022,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20023,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20024,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20026,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20027,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20029,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20030,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20032,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20033,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20035,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20036,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20037,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20038,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20039,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20040,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20041,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20042,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20043,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20044,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20045,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20047,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20049,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20051,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20052,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20053,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20055,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20056,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20057,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20058,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20059,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20060,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20062,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20063,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20064,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20065,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20066,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20068,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20069,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20070,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20071,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20073,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20076,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20080,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20082,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20088,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20090,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20091,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20097,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20098,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20201,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20202,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20203,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20204,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20206,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20207,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20208,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20210,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20211,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20212,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20213,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20214,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
US,DC,20215,DISTRICT OF COLUMBIA,1,6,0,0,0,6,0,0,FALSE
