State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
IN,46001,MADISON,0.070000,0.070000,0.000000,0,0,0
IN,46011,ANDERSON,0.070000,0.070000,0.000000,0.000000,0,0
IN,46012,ANDERSON,0.070000,0.070000,0.000000,0.000000,0,0
IN,46013,ANDERSON,0.070000,0.070000,0.000000,0.000000,0,0
IN,46015,ANDERSON,0.070000,0.070000,0.000000,0.000000,0,0
IN,46016,ANDERSON,0.070000,0.070000,0.000000,0.000000,0,0
IN,46017,MADISON,0.070000,0.070000,0.000000,0,0,0
IN,46018,ANDERSON,0.070000,0.070000,0.000000,0.000000,0,0
IN,46030,HAMILTON,0.070000,0.070000,0.000000,0,0,0
IN,46031,HAMILTON,0.070000,0.070000,0.000000,0,0,0
IN,46032,"CARMEL ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46033,"CARMEL ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46034,"CICERO ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46035,"COLFAX ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46036,"ELWOOD ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46037,"FISHERS ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46038,"FISHERS ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46039,CLINTON,0.070000,0.070000,0.000000,0,0,0
IN,46040,"FORTVILLE ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46041,"FRANKFORT ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46044,MADISON,0.070000,0.070000,0.000000,0,0,0
IN,46045,TIPTON,0.070000,0.070000,0.000000,0,0,0
IN,46047,TIPTON,0.070000,0.070000,0.000000,0,0,0
IN,46048,"INGALLS ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46049,TIPTON,0.070000,0.070000,0.000000,0,0,0
IN,46050,CLINTON,0.070000,0.070000,0.000000,0,0,0
IN,46051,"LAPEL ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46052,"LEBANON ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46055,"MCCORDSVILLE ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46056,MADISON,0.070000,0.070000,0.000000,0,0,0
IN,46057,CLINTON,0.070000,0.070000,0.000000,0,0,0
IN,46058,CLINTON,0.070000,0.070000,0.000000,0,0,0
IN,46060,"NOBLESVILLE ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46061,"NOBLESVILLE ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46062,"NOBLESVILLE ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46063,"ORESTES ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46064,MADISON,0.070000,0.070000,0.000000,0,0,0
IN,46065,CLINTON,0.070000,0.070000,0.000000,0,0,0
IN,46067,CLINTON,0.070000,0.070000,0.000000,0,0,0
IN,46068,TIPTON,0.070000,0.070000,0.000000,0,0,0
IN,46069,"SHERIDAN ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46070,MADISON,0.070000,0.070000,0.000000,0,0,0
IN,46071,"BOONE ",0.070000,0.070000,0.000000,0,0,0
IN,46072,TIPTON,0.070000,0.070000,0.000000,0,0,0
IN,46074,"WESTFIELD ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46075,"WHITESTOWN ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46076,TIPTON,0.070000,0.070000,0.000000,0,0,0
IN,46077," ZIONSVILLE ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46082,"CARMEL ",0.070000,0.070000,0.000000,0.000000,0,0
IN,46102,ADVANCE,0.070000,0.070000,0.000000,0.000000,0,0
IN,46103,"AMO ",0.070000,0.070000,0.000000,0.000000,0,0
