State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MI,48001,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48002,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48003,LAPEER,0.060000,0.060000,0.000000,0,0.000000,0
MI,48004,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48005,ARMADA,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48006,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48007,TROY,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48009,BIRMINGHAM,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48012,BIRMINGHAM,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48014,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48015,"CENTER LINE",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48017,CLAWSON,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48021,EASTPOINTE,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48022,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48023,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48025,"BEVERLY HILLS",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48026,FRASER,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48027,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48028,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48030,"HAZEL PARK",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48032,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48033,SOUTHFIELD,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48034,SOUTHFIELD,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48035,MACOMB,0.060000,0.060000,0.000000,0,0.000000,0
MI,48036,MACOMB,0.060000,0.060000,0.000000,0,0.000000,0
MI,48037,SOUTHFIELD,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48038,MACOMB,0.060000,0.060000,0.000000,0,0.000000,0
MI,48039,"MARINE CITY",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48040,MARYSVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48041,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48042,MACOMB,0.060000,0.060000,0.000000,0,0.000000,0
MI,48043,"MOUNT CLEMENS",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48044,MACOMB,0.060000,0.060000,0.000000,0,0.000000,0
MI,48045,MACOMB,0.060000,0.060000,0.000000,0,0.000000,0
MI,48046,"MOUNT CLEMENS",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48047,MACOMB,0.060000,0.060000,0.000000,0,0.000000,0
MI,48048,"NEW HAVEN",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48049,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48050,MACOMB,0.060000,0.060000,0.000000,0,0.000000,0
MI,48051,MACOMB,0.060000,0.060000,0.000000,0,0.000000,0
MI,48054,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48059,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48060,"PORT HURON",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48061,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48062,RICHMOND,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48063,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48064,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48065,MACOMB,0.060000,0.060000,0.000000,0,0.000000,0
MI,48066,ROSEVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48067,"ROYAL OAK",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48068,"ROYAL OAK",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48069,"PLEASANT RIDGE",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48070,"HUNTINGTON WOODS",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48071,"MADISON HEIGHTS",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48072,BERKLEY,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48073,"ROYAL OAK",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48074,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48075,SOUTHFIELD,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48076,SOUTHFIELD,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48079,"SAINT CLAIR",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48080,"SAINT CLAIR SHORES",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48081,"SAINT CLAIR SHORES",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48082,"SAINT CLAIR SHORES",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48083,TROY,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48084,TROY,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48085,TROY,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48088,WARREN,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48089,WARREN,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48090,WARREN,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48091,WARREN,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48092,WARREN,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48093,WARREN,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48094,MACOMB,0.060000,0.060000,0.000000,0,0.000000,0
MI,48095,MACOMB,0.060000,0.060000,0.000000,0,0.000000,0
MI,48096,MACOMB,0.060000,0.060000,0.000000,0,0.000000,0
MI,48097,"SAINT CLAIR",0.060000,0.060000,0.000000,0,0.000000,0
MI,48098,TROY,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48099,TROY,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48101,"ALLEN PARK ",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48103,"ANN ARBOR",0.060000,0.060000,0.000000,0.000000,0,0
MI,48104,"ANN ARBOR",0.060000,0.060000,0.000000,0.000000,0,0
MI,48105,"ANN ARBOR",0.060000,0.060000,0.000000,0.000000,0,0
MI,48106,"ANN ARBOR",0.060000,0.060000,0.000000,0.000000,0,0
MI,48107,"ANN ARBOR",0.060000,0.060000,0.000000,0.000000,0,0
MI,48108,WASHTENAW,0.060000,0.060000,0.000000,0,0.000000,0
MI,48109,"ANN ARBOR",0.060000,0.060000,0.000000,0.000000,0,0
MI,48110,MONROE,0.060000,0.060000,0.000000,0,0.000000,0
MI,48111,WAYNE,0.060000,0.060000,0.000000,0,0.000000,0
MI,48113,"ANN ARBOR",0.060000,0.060000,0.000000,0.000000,0,0
MI,48114,LIVINGSTON,0.060000,0.060000,0.000000,0,0.000000,0
MI,48116,BRIGHTON,0.060000,0.060000,0.000000,0.000000,0,0
MI,48117,MONROE,0.060000,0.060000,0.000000,0,0.000000,0
MI,48118,CHELSEA,0.060000,0.060000,0.000000,0.000000,0,0
MI,48120,"DEARBORN  ",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48121,"DEARBORN  ",0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48122,MELVINDALE,0.060000,0.060000,0.000000,0.000000,0.000000,0
MI,48123,"DEARBORN  ",0.060000,0.060000,0.000000,0.000000,0.000000,0
