State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MS,38601,LAFAYETTE,0.070000,0.070000,0.000000,0,0,1
MS,38602,TATE,0.070000,0.070000,0.000000,0,0,1
MS,38603,BENTON,0.070000,0.070000,0.000000,0,0,3
MS,38606,PANOLA,0.070000,0.070000,0.000000,0,0,2
MS,38609,QUITMAN,0.070000,0.070000,0.000000,0,0,1
MS,38610,TIPPAH,0.070000,0.070000,0.000000,0,0,1
MS,38611,MARSHALL,0.070000,0.070000,0.000000,0,0,1
MS,38614,CLARKSDALE,0.070000,0.070000,0.000000,0.000000,0,8
MS,38617,COAHOMA,0.070000,0.070000,0.000000,0,0,4
MS,38618,TATE,0.070000,0.070000,0.000000,0,0,1
MS,38619,PANOLA,0.070000,0.070000,0.000000,0,0,2
MS,38620,PANOLA,0.070000,0.070000,0.000000,0,0,1
MS,38621,PANOLA,0.070000,0.070000,0.000000,0,0,2
MS,38622,CROWDER,0.070000,0.070000,0.000000,0.000000,0,1
MS,38623,QUITMAN,0.070000,0.070000,0.000000,0,0,1
MS,38625,TIPPAH,0.070000,0.070000,0.000000,0,0,1
MS,38626,TUNICA,0.070000,0.070000,0.000000,0,0,3
MS,38627,UNION,0.070000,0.070000,0.000000,0,0,2
MS,38629,TIPPAH,0.070000,0.070000,0.000000,0,0,1
MS,38631,"FRIARS POINT",0.070000,0.070000,0.000000,0.000000,0,2
MS,38632,DESOTO,0.070000,0.070000,0.000000,0,0,1
MS,38633,BENTON,0.070000,0.070000,0.000000,0,0,2
MS,38635,MARSHALL,0.070000,0.070000,0.000000,0,0,2
MS,38637,"HORN LAKE",0.070000,0.070000,0.000000,0.000000,0,2
MS,38638,TATE,0.070000,0.070000,0.000000,0,0,1
MS,38639,JONESTOWN,0.070000,0.070000,0.000000,0.000000,0,1
MS,38641,DESOTO,0.070000,0.070000,0.000000,0,0,1
MS,38642,BENTON,0.070000,0.070000,0.000000,0,0,3
MS,38643,QUITMAN,0.070000,0.070000,0.000000,0,0,1
MS,38644,LULA,0.070000,0.070000,0.000000,0.000000,0,1
MS,38645,COAHOMA,0.070000,0.070000,0.000000,0,0,2
MS,38646,QUITMAN,0.070000,0.070000,0.000000,0,0,1
MS,38647,BENTON,0.070000,0.070000,0.000000,0,0,3
MS,38649,"HOLLY SPRINGS",0.070000,0.070000,0.000000,0.000000,0,2
MS,38650,UNION,0.070000,0.070000,0.000000,0,0,1
MS,38651,DESOTO,0.070000,0.070000,0.000000,0,0,1
MS,38652,"NEW ALBANY",0.070000,0.070000,0.000000,0.000000,0,5
MS,38654,"OLIVE BRANCH",0.070000,0.070000,0.000000,0.000000,0,1
MS,38655,OXFORD,0.070000,0.070000,0.000000,0.000000,0,3
MS,38658,PANOLA,0.070000,0.070000,0.000000,0,0,1
MS,38659,MARSHALL,0.070000,0.070000,0.000000,0,0,6
MS,38661,MARSHALL,0.070000,0.070000,0.000000,0,0,2
MS,38663,TIPPAH,0.070000,0.070000,0.000000,0,0,1
MS,38664,TUNICA,0.070000,0.070000,0.000000,0,0,7
MS,38665,TATE,0.070000,0.070000,0.000000,0,0,5
MS,38666,PANOLA,0.070000,0.070000,0.000000,0,0,2
MS,38668,TATE,0.070000,0.070000,0.000000,0,0,1
MS,38670,QUITMAN,0.070000,0.070000,0.000000,0,0,2
MS,38671,SOUTHAVEN,0.070000,0.070000,0.000000,0.000000,0,1
MS,38672,SOUTHAVEN,0.070000,0.070000,0.000000,0.000000,0,1
MS,38673,LAFAYETTE,0.070000,0.070000,0.000000,0,0,1
MS,38674,TIPPAH,0.070000,0.070000,0.000000,0,0,1
MS,38676,TUNICA,0.070000,0.070000,0.000000,0,0,6
MS,38677,LAFAYETTE,0.070000,0.070000,0.000000,0,0,1
MS,38679,MARSHALL,0.070000,0.070000,0.000000,0,0,1
MS,38680,DESOTO,0.070000,0.070000,0.000000,0,0,4
MS,38683,TIPPAH,0.070000,0.070000,0.000000,0,0,1
MS,38685,MARSHALL,0.070000,0.070000,0.000000,0,0,2
MS,38686,WALLS,0.070000,0.070000,0.000000,0.000000,0,1
MS,38701,GREENVILLE,0.070000,0.070000,0.000000,0.000000,0,6
MS,38703,GREENVILLE,0.070000,0.070000,0.000000,0.000000,0,2
MS,38720,COAHOMA,0.070000,0.070000,0.000000,0,0,2
