State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NE,68001,ABIE,0.055000,0.055000,0.000000,0.000000,0,1
NE,68002,WASHINGTON,0.055000,0.055000,0.000000,0,0,1
NE,68003,ASHLAND,0.055000,0.070000,0.000000,0.015000,0,1
NE,68004,BANCROFT,0.055000,0.070000,0.000000,0.015000,0,1
NE,68005,BELLEVUE,0.055000,0.070000,0.000000,0.015000,0,1
NE,68007,DOUGLAS,0.055000,0.055000,0.000000,0,0,1
NE,68008,BLAIR,0.055000,0.070000,0.000000,0.015000,0,1
NE,68010,"BOYS TOWN",0.055000,0.055000,0.000000,0.000000,0,2
NE,68014,BUTLER,0.055000,0.055000,0.000000,0,0,1
NE,68015,SAUNDERS,0.055000,0.055000,0.000000,0,0,1
NE,68016,"CEDAR CREEK",0.055000,0.055000,0.000000,0.000000,0,1
NE,68017,CERESCO,0.055000,0.070000,0.000000,0.015000,0,1
NE,68018,SAUNDERS,0.055000,0.055000,0.000000,0,0,1
NE,68019,BURT,0.055000,0.055000,0.000000,0,0,1
NE,68020,DECATUR,0.055000,0.065000,0.000000,0.010000,0,1
NE,68022,DOUGLAS,0.055000,0.055000,0.000000,0,0,1
NE,68023,WASHINGTON,0.055000,0.055000,0.000000,0,0,1
NE,68025,FREMONT,0.055000,0.070000,0.000000,0.015000,0,2
NE,68026,FREMONT,0.055000,0.070000,0.000000,0.015000,0,1
NE,68028,SARPY,0.055000,0.055000,0.000000,0,0,1
NE,68029,WASHINGTON,0.055000,0.055000,0.000000,0,0,1
NE,68030,"DAKOTA COUNTY",0.055000,0.060000,0.005000,0,0,1
NE,68031,DODGE,0.055000,0.055000,0.000000,0,0,1
NE,68033,SAUNDERS,0.055000,0.055000,0.000000,0,0,1
NE,68034,WASHINGTON,0.055000,0.055000,0.000000,0,0,1
NE,68036,BUTLER,0.055000,0.055000,0.000000,0,0,1
NE,68037,CASS,0.055000,0.055000,0.000000,0,0,1
NE,68038,LYONS,0.055000,0.070000,0.000000,0.015000,0,1
NE,68039,THURSTON,0.055000,0.055000,0.000000,0,0,1
NE,68040,SAUNDERS,0.055000,0.055000,0.000000,0,0,1
NE,68041,SAUNDERS,0.055000,0.055000,0.000000,0,0,1
NE,68042,MEMPHIS,0.055000,0.055000,0.000000,0.000000,0,1
NE,68044,WASHINGTON,0.055000,0.055000,0.000000,0,0,2
NE,68045,OAKLAND,0.055000,0.070000,0.000000,0.015000,0,1
NE,68046,PAPILLION,0.055000,0.075000,0.000000,0.020000,0,1
NE,68047,PENDER,0.055000,0.070000,0.000000,0.015000,0,1
NE,68048,CASS,0.055000,0.055000,0.000000,0,0,1
NE,68050,SAUNDERS,0.055000,0.055000,0.000000,0,0,1
NE,68055,ROSALIE,0.055000,0.055000,0.000000,0.000000,0,1
NE,68056,SARPY,0.055000,0.055000,0.000000,0,0,1
NE,68057,DODGE,0.055000,0.055000,0.000000,0,0,1
NE,68058,CASS,0.055000,0.055000,0.000000,0,0,1
NE,68059,SARPY,0.055000,0.055000,0.000000,0,0,2
NE,68061,TEKAMAH,0.055000,0.075000,0.000000,0.020000,0,1
NE,68062,THURSTON,0.055000,0.055000,0.000000,0.000000,0,1
NE,68063,UEHLING,0.055000,0.065000,0.000000,0.010000,0,1
NE,68064,DOUGLAS,0.055000,0.055000,0.000000,0,0,2
NE,68065,VALPARAISO,0.055000,0.055000,0.000000,0.000000,0,1
NE,68066,WAHOO,0.055000,0.075000,0.000000,0.020000,0,1
NE,68067,THURSTON,0.055000,0.055000,0.000000,0,0,1
NE,68068,WASHINGTON,0.055000,0.055000,0.000000,0.000000,0,1
NE,68069,DOUGLAS,0.055000,0.055000,0.000000,0,0,1
NE,68070,SAUNDERS,0.055000,0.055000,0.000000,0,0,1
NE,68071,THURSTON,0.055000,0.055000,0.000000,0,0,1
NE,68072,WINSLOW,0.055000,0.055000,0.000000,0.000000,0,1
NE,68073,YUTAN,0.055000,0.055000,0.000000,0.000000,0,1
NE,68102,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68103,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68104,OMAHA,0.055000,0.070000,0.000000,0.015000,0,3
NE,68105,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68106,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68107,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68108,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68109,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68110,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68111,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68112,OMAHA,0.055000,0.070000,0.000000,0.015000,0,3
NE,68113,SARPY,0.055000,0.055000,0.000000,0,0,2
NE,68114,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68116,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68117,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68118,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68122,DOUGLAS,0.055000,0.055000,0.000000,0,0,2
NE,68123,BELLEVUE,0.055000,0.070000,0.000000,0.015000,0,3
NE,68124,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68127,OMAHA,0.055000,0.070000,0.000000,0.015000,0,3
NE,68128,"LA VISTA",0.055000,0.075000,0.000000,0.020000,0,3
NE,68130,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68131,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68132,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68133,SARPY,0.055000,0.055000,0.000000,0,0,2
NE,68134,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68135,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68136,SARPY,0.055000,0.055000,0.000000,0,0,2
NE,68137,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68138,SARPY,0.055000,0.055000,0.000000,0,0,3
NE,68139,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68142,DOUGLAS,0.055000,0.055000,0.000000,0,0,2
NE,68144,OMAHA,0.055000,0.070000,0.000000,0.015000,0,3
NE,68145,OMAHA,0.055000,0.070000,0.000000,0.015000,0,3
NE,68147,BELLEVUE,0.055000,0.070000,0.000000,0.015000,0,3
NE,68152,OMAHA,0.055000,0.070000,0.000000,0.015000,0,3
NE,68154,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68157,BELLEVUE,0.055000,0.070000,0.000000,0.015000,0,4
NE,68164,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68175,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68178,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68179,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68180,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68182,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68183,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68197,OMAHA,0.055000,0.070000,0.000000,0.015000,0,1
NE,68198,OMAHA,0.055000,0.070000,0.000000,0.015000,0,2
NE,68301,GAGE,0.055000,0.055000,0.000000,0,0,1
NE,68303,ALEXANDRIA,0.055000,0.055000,0.000000,0.000000,0,1
NE,68304,CASS,0.055000,0.055000,0.000000,0,0,1
NE,68305,AUBURN,0.055000,0.065000,0.000000,0.010000,0,5
NE,68307,CASS,0.055000,0.055000,0.000000,0,0,1
