State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NV,89001,"LINCOLN COUNTY",0.046000,0.071000,0.025000,0,0,3
NV,89002,HENDERSON,0.046000,0.082500,0.036500,0.000000,0.000000,1
NV,89003,"NYE COUNTY",0.046000,0.076000,0.030000,0,0,2
NV,89004,CLARK,0.046000,0.082500,0.036500,0,0.000000,2
NV,89005,"BOULDER CITY",0.046000,0.082500,0.036500,0.000000,0.000000,2
NV,89006,"BOULDER CITY",0.046000,0.082500,0.036500,0.000000,0.000000,1
NV,89007,"CLARK COUNTY",0.046000,0.082500,0.036500,0,0,2
NV,89008,CALIENTE,0.046000,0.071000,0.025000,0.000000,0,3
NV,89009,HENDERSON,0.046000,0.082500,0.036500,0.000000,0.000000,1
NV,89010,"ESMERALDA COUNTY",0.046000,0.068500,0.022500,0,0,1
NV,89011,HENDERSON,0.046000,0.082500,0.036500,0.000000,0.000000,1
NV,89012,HENDERSON,0.046000,0.082500,0.036500,0.000000,0.000000,1
NV,89013,"ESMERALDA COUNTY",0.046000,0.068500,0.022500,0,0,1
NV,89014,HENDERSON,0.046000,0.082500,0.036500,0.000000,0.000000,2
NV,89015,HENDERSON,0.046000,0.082500,0.036500,0.000000,0.000000,2
NV,89016,HENDERSON,0.046000,0.082500,0.036500,0.000000,0.000000,1
NV,89017,"LINCOLN COUNTY",0.046000,0.071000,0.025000,0,0,3
NV,89018,"CLARK COUNTY",0.046000,0.082500,0.036500,0,0,1
NV,89019,"CLARK COUNTY",0.046000,0.082500,0.036500,0,0,4
NV,89020,"NYE COUNTY",0.046000,0.076000,0.030000,0,0,2
NV,89021,"CLARK COUNTY",0.046000,0.082500,0.036500,0,0,2
NV,89022,"NYE COUNTY",0.046000,0.076000,0.030000,0,0,1
NV,89023,"NYE COUNTY",0.046000,0.076000,0.030000,0,0,1
NV,89024,MESQUITE,0.046000,0.082500,0.036500,0.000000,0,1
NV,89025,"CLARK COUNTY",0.046000,0.082500,0.036500,0,0,1
NV,89026,CLARK,0.046000,0.082500,0.036500,0,0.000000,1
NV,89027,MESQUITE,0.046000,0.082500,0.036500,0.000000,0,1
NV,89028,"CLARK COUNTY",0.046000,0.082500,0.036500,0,0,1
NV,89029,"CLARK COUNTY",0.046000,0.082500,0.036500,0,0,1
NV,89030,"NORTH LAS VEGAS",0.046000,0.082500,0.036500,0.000000,0.000000,1
NV,89031,"NORTH LAS VEGAS",0.046000,0.082500,0.036500,0.000000,0.000000,1
NV,89032,"NORTH LAS VEGAS",0.046000,0.082500,0.036500,0.000000,0.000000,2
NV,89033,"NORTH LAS VEGAS",0.046000,0.082500,0.036500,0.000000,0.000000,1
NV,89034,MESQUITE,0.046000,0.082500,0.036500,0.000000,0,1
NV,89036,"NORTH LAS VEGAS",0.046000,0.082500,0.036500,0.000000,0.000000,1
NV,89039,"CLARK COUNTY",0.046000,0.082500,0.036500,0,0,2
NV,89040,"CLARK COUNTY",0.046000,0.082500,0.036500,0,0,6
NV,89041,NYE,0.046000,0.076000,0.030000,0.000000,0,1
NV,89042,"LINCOLN COUNTY",0.046000,0.071000,0.025000,0,0,1
NV,89043,"LINCOLN COUNTY",0.046000,0.071000,0.025000,0,0,6
NV,89044,HENDERSON,0.046000,0.082500,0.036500,0.000000,0.000000,2
NV,89045,"NYE COUNTY",0.046000,0.076000,0.030000,0,0,2
NV,89046,"CLARK COUNTY",0.046000,0.082500,0.036500,0,0,2
NV,89047,"ESMERALDA COUNTY",0.046000,0.068500,0.022500,0,0,1
NV,89048,NYE,0.046000,0.076000,0.030000,0.000000,0,3
NV,89049,"NYE COUNTY",0.046000,0.076000,0.030000,0,0,3
NV,89052,HENDERSON,0.046000,0.082500,0.036500,0.000000,0.000000,1
NV,89053,HENDERSON,0.046000,0.082500,0.036500,0.000000,0.000000,1
NV,89054,CLARK,0.046000,0.082500,0.036500,0,0.000000,2
NV,89060,NYE,0.046000,0.076000,0.030000,0.000000,0,1
NV,89061,NYE,0.046000,0.076000,0.030000,0.000000,0,1
NV,89067,"CLARK COUNTY",0.046000,0.082500,0.036500,0,0,1
NV,89074,HENDERSON,0.046000,0.082500,0.036500,0.000000,0.000000,1
