State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
OH,43001,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43002,FRANKLIN,0.057500,0.075000,0.012500,0.000000,0.005000,1
OH,43003,"DELAWARE COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43004,FRANKLIN,0.057500,0.075000,0.012500,0.000000,0.005000,1
OH,43005,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43006,"HOLMES COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43007,"UNION COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43008,"BUCKEYE LAKE",0.057500,0.072500,0.015000,0.000000,0,1
OH,43009,"CHAMPAIGN COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43010,CATAWBA,0.057500,0.072500,0.015000,0.000000,0,1
OH,43011,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43013,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43014,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43015,DELAWARE,0.057500,0.070000,0.012500,0.000000,0,1
OH,43016,"DUBLIN COTA",0.057500,0.075000,0.012500,0.000000,0.005000,1
OH,43017,"DUBLIN COTA",0.057500,0.075000,0.012500,0.000000,0.005000,1
OH,43018,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,3
OH,43019,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43021,"DELAWARE COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43022,GAMBIER,0.057500,0.072500,0.015000,0.000000,0,1
OH,43023,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43025,HEBRON,0.057500,0.072500,0.015000,0.000000,0,1
OH,43026,HILLIARD,0.057500,0.075000,0.012500,0.000000,0.005000,1
OH,43027,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43028,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43029,"MADISON COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43030,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43031,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43033,KIRKERSVILLE,0.057500,0.072500,0.015000,0.000000,0,1
OH,43035,DELAWARE,0.057500,0.070000,0.012500,0,0.000000,1
OH,43036,"MAGNETIC SPRINGS",0.057500,0.070000,0.012500,0.000000,0,2
OH,43037,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43040,MARYSVILLE,0.057500,0.070000,0.012500,0.000000,0,1
OH,43041,MARYSVILLE,0.057500,0.070000,0.012500,0.000000,0,1
OH,43044,"CHAMPAIGN COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43045,"UNION COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43046,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,4
OH,43047,"CHAMPAIGN COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43048,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43050,"MOUNT VERNON",0.057500,0.072500,0.015000,0.000000,0,1
OH,43054,"NEW ALBANY",0.057500,0.075000,0.012500,0.000000,0.005000,1
OH,43055,NEWARK,0.057500,0.072500,0.015000,0.000000,0,3
OH,43056,HEATH,0.057500,0.072500,0.015000,0.000000,0,2
OH,43058,NEWARK,0.057500,0.072500,0.015000,0.000000,0,1
