State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
SD,57001,ALCESTER,0.045000,0.065000,0,0.020000,0,3
SD,57002,AURORA,0.045000,0.055000,0,0.010000,0,1
SD,57003,MINNEHAHA,0.045000,0.045000,0.000000,0,0,1
SD,57004,BERESFORD,0.045000,0.065000,0,0.020000,0,3
SD,57005,BRANDON,0.045000,0.065000,0.000000,0.020000,0.000000,3
SD,57006,"BROOKINGS BUSINESS IMPROVEMENT DISTRICT NO. 1",0.045000,0.065000,0.000000,0.020000,0.000000,2
SD,57007,"BROOKINGS BUSINESS IMPROVEMENT DISTRICT NO. 1",0.045000,0.065000,0.000000,0.020000,0.000000,1
SD,57010,CLAY,0.045000,0.045000,0.000000,0,0,1
SD,57012,MCCOOK,0.045000,0.045000,0.000000,0,0,2
SD,57013,CANTON,0.045000,0.065000,0,0.020000,0,1
SD,57014,CENTERVILLE,0.045000,0.065000,0,0.020000,0,2
SD,57015,TURNER,0.045000,0.045000,0.000000,0,0,1
SD,57016,LAKE,0.045000,0.045000,0.000000,0,0,3
SD,57017,MOODY,0.045000,0.045000,0.000000,0,0,1
SD,57018,COLTON,0.045000,0.065000,0,0.020000,0,2
SD,57020,CROOKS,0.045000,0.065000,0,0.020000,0,2
SD,57021,TURNER,0.045000,0.045000,0.000000,0,0,1
SD,57022,"DELL RAPIDS",0.045000,0.065000,0,0.020000,0,1
SD,57024,EGAN,0.045000,0.065000,0,0.020000,0,1
SD,57025,"ELK POINT",0.045000,0.065000,0,0.020000,0,4
SD,57026,ELKTON,0.045000,0.065000,0,0.020000,0,2
SD,57027,FAIRVIEW,0.045000,0.065000,0,0.020000,0,1
SD,57028,FLANDREAU,0.045000,0.065000,0,0.020000,0,1
SD,57029,FREEMAN,0.045000,0.065000,0,0.020000,0,1
SD,57030,MINNEHAHA,0.045000,0.045000,0.000000,0,0,3
SD,57031,GAYVILLE,0.045000,0.065000,0,0.020000,0,1
SD,57032,HARRISBURG,0.045000,0.065000,0,0.020000,0,2
SD,57033,HARTFORD,0.045000,0.065000,0,0.020000,0,2
SD,57034,LINCOLN,0.045000,0.045000,0.000000,0,0,3
SD,57035,HUMBOLDT,0.045000,0.065000,0,0.020000,0,2
SD,57036,TURNER,0.045000,0.045000,0.000000,0,0,3
SD,57037,YANKTON,0.045000,0.045000,0.000000,0,0,2
SD,57038,UNION,0.045000,0.045000,0.000000,0,0,1
SD,57039,LENNOX,0.045000,0.065000,0,0.020000,0,2
SD,57040,YANKTON,0.045000,0.045000,0.000000,0,0,1
SD,57041,MINNEHAHA,0.045000,0.045000,0.000000,0,0,1
SD,57042,MADISON,0.045000,0.065000,0,0.020000,0,4
SD,57043,TURNER,0.045000,0.045000,0.000000,0,0,1
SD,57045,MENNO,0.045000,0.065000,0,0.020000,0,1
SD,57046,YANKTON,0.045000,0.045000,0.000000,0,0,1
SD,57047,MONROE,0.045000,0.065000,0,0.020000,0,1
SD,57048,MCCOOK,0.045000,0.045000,0.000000,0,0,2
SD,57049,"NORTH SIOUX CITY",0.045000,0.065000,0,0.020000,0,3
SD,57050,LAKE,0.045000,0.045000,0.000000,0,0,1
SD,57051,KINGSBURY,0.045000,0.045000,0.000000,0,0,1
SD,57052,HUTCHINSON,0.045000,0.045000,0.000000,0,0,2
SD,57053,TURNER,0.045000,0.045000,0.000000,0,0,1
SD,57054,LAKE,0.045000,0.045000,0.000000,0,0,1
SD,57055,MINNEHAHA,0.045000,0.045000,0.000000,0,0,2
SD,57057,LAKE,0.045000,0.045000,0.000000,0,0,1
SD,57058,SALEM,0.045000,0.065000,0,0.020000,0,2
SD,57059,SCOTLAND,0.045000,0.065000,0,0.020000,0,1
SD,57061,SINAI,0.045000,0.045000,0.000000,0.000000,0,2
SD,57062,SPRINGFIELD,0.045000,0.065000,0,0.020000,0,1
SD,57063,"BON HOMME",0.045000,0.045000,0.000000,0,0,1
SD,57064,TEA,0.045000,0.065000,0,0.020000,0,1
SD,57065,TRENT,0.045000,0.065000,0,0.020000,0,1
SD,57066,TYNDALL,0.045000,0.065000,0,0.020000,0,1
SD,57067,YANKTON,0.045000,0.045000,0.000000,0,0,2
SD,57068,"VALLEY SPRINGS",0.045000,0.065000,0,0.020000,0,2
SD,57069,VERMILLION,0.045000,0.065000,0.000000,0.020000,0.000000,5
SD,57070,TURNER,0.045000,0.045000,0.000000,0,0,5
SD,57071,VOLGA,0.045000,0.065000,0,0.020000,0,1
SD,57072,YANKTON,0.045000,0.045000,0.000000,0,0,1
SD,57073,CLAY,0.045000,0.045000,0.000000,0,0,1
SD,57075,LAKE,0.045000,0.045000,0.000000,0,0,3
SD,57076,LAKE,0.045000,0.045000,0.000000,0,0,1
SD,57077,WORTHING,0.045000,0.065000,0,0.020000,0,1
SD,57078,YANKTON,0.045000,0.065000,0.000000,0.020000,0.000000,1
SD,57101,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,2
SD,57103,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,2
SD,57104,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,2
SD,57105,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,2
SD,57106,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,3
SD,57107,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,4
SD,57108,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,2
SD,57109,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,2
SD,57110,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,2
SD,57118,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,2
SD,57186,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,1
SD,57193,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,2
SD,57197,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,2
SD,57198,"SIOUX FALLS CONVENTION AND VISITORS BUREAU BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,2
SD,57201,"WATERTOWN BUSINESS IMPROVEMENT DISTRICT",0.045000,0.065000,0.000000,0.020000,0.000000,8
SD,57212,ARLINGTON,0.045000,0.065000,0,0.020000,0,3
SD,57213,DEUEL,0.045000,0.045000,0.000000,0,0,1
SD,57214,LAKE,0.045000,0.045000,0.000000,0,0,1
SD,57216,"BIG STONE CITY",0.045000,0.065000,0,0.020000,0,2
SD,57217,CLARK,0.045000,0.045000,0.000000,0,0,2
SD,57218,DEUEL,0.045000,0.045000,0.000000,0,0,1
SD,57219,DAY,0.045000,0.045000,0.000000,0,0,2
SD,57220,BROOKINGS,0.045000,0.045000,0.000000,0,0,2
SD,57221,BRYANT,0.045000,0.065000,0,0.020000,0,1
SD,57223,HAMLIN,0.045000,0.045000,0.000000,0,0,1
SD,57224,ROBERTS,0.045000,0.045000,0.000000,0,0,1
SD,57225,CLARK,0.045000,0.065000,0,0.020000,0,1
SD,57226,"CLEAR LAKE",0.045000,0.065000,0,0.020000,0,3
SD,57227,ROBERTS,0.045000,0.045000,0.000000,0,0,1
SD,57231,"DE SMET",0.045000,0.065000,0,0.020000,0,1
SD,57232,MARSHALL,0.045000,0.045000,0.000000,0,0,1
SD,57233,KINGSBURY,0.045000,0.045000,0.000000,0,0,2
SD,57234,ESTELLINE,0.045000,0.065000,0,0.020000,0,2
SD,57235,CODINGTON,0.045000,0.045000,0.000000,0,0,1
SD,57236,CLARK,0.045000,0.045000,0.000000,0,0,1
SD,57237,DEUEL,0.045000,0.045000,0.000000,0,0,1
SD,57238,DEUEL,0.045000,0.045000,0.000000,0,0,2
SD,57239,DAY,0.045000,0.045000,0.000000,0,0,1
SD,57241,HAMLIN,0.045000,0.045000,0.000000,0,0,2
SD,57242,HAMLIN,0.045000,0.045000,0.000000,0,0,1
SD,57243,CODINGTON,0.045000,0.045000,0.000000,0,0,1
SD,57245,KRANZBURG,0.045000,0.065000,0,0.020000,0,1
SD,57246,GRANT,0.045000,0.045000,0.000000,0,0,1
SD,57247,MARSHALL,0.045000,0.045000,0.000000,0,0,2
SD,57248,HAMLIN,0.045000,0.045000,0.000000,0,0,2
SD,57249,"LAKE PRESTON",0.045000,0.065000,0,0.020000,0,1
SD,57251,GRANT,0.045000,0.045000,0.000000,0,0,1
SD,57252,MILBANK,0.045000,0.065000,0,0.020000,0,1
SD,57255,ROBERTS,0.045000,0.045000,0.000000,0,0,1
SD,57256,GRANT,0.045000,0.045000,0.000000,0,0,1
SD,57257,ROBERTS,0.045000,0.045000,0.000000,0,0,1
SD,57258,CLARK,0.045000,0.045000,0.000000,0,0,2
SD,57259,REVILLO,0.045000,0.055000,0,0.010000,0,2
SD,57260,ROBERTS,0.045000,0.045000,0.000000,0,0,1
SD,57261,DAY,0.045000,0.045000,0.000000,0,0,1
SD,57262,SISSETON,0.045000,0.065000,0,0.020000,0,1
SD,57263,CODINGTON,0.045000,0.045000,0.000000,0,0,1
SD,57264,GRANT,0.045000,0.045000,0.000000,0,0,1
SD,57265,GRANT,0.045000,0.045000,0.000000,0,0,2
SD,57266,GRANT,0.045000,0.045000,0.000000,0,0,1
SD,57268,BROOKINGS,0.045000,0.045000,0.000000,0,0,2
SD,57269,GRANT,0.045000,0.045000,0.000000,0,0,1
SD,57270,MARSHALL,0.045000,0.045000,0.000000,0,0,2
SD,57271,VIENNA,0.045000,0.045000,0.000000,0.000000,0,2
SD,57272,CODINGTON,0.045000,0.045000,0.000000,0,0,1
SD,57273,DAY,0.045000,0.045000,0.000000,0,0,2
SD,57274,WEBSTER,0.045000,0.065000,0,0.020000,0,3
SD,57276,BROOKINGS,0.045000,0.045000,0.000000,0,0,3
SD,57278,CLARK,0.045000,0.045000,0.000000,0,0,1
SD,57279,ROBERTS,0.045000,0.045000,0.000000,0,0,1
SD,57301,MITCHELL,0.045000,0.065000,0.000000,0.020000,0.000000,4
SD,57311,HANSON,0.045000,0.045000,0.000000,0,0,1
SD,57312,BEADLE,0.045000,0.045000,0.000000,0,0,1
SD,57313,ARMOUR,0.045000,0.065000,0,0.020000,0,1
SD,57314,SANBORN,0.045000,0.045000,0.000000,0,0,2
SD,57315,"BON HOMME",0.045000,0.045000,0.000000,0,0,1
SD,57317,GREGORY,0.045000,0.045000,0.000000,0,0,1
SD,57319,BRIDGEWATER,0.045000,0.065000,0,0.020000,0,3
SD,57321,MINER,0.045000,0.045000,0.000000,0,0,2
SD,57322,BEADLE,0.045000,0.045000,0.000000,0,0,2
SD,57323,CARTHAGE,0.045000,0.065000,0,0.020000,0,1
SD,57324,BEADLE,0.045000,0.045000,0.000000,0,0,1
SD,57325,"CHAMBERLAIN BUSINESS IMPROVEMENT DISTRICT NO. 1",0.045000,0.065000,0.000000,0.020000,0.000000,3
SD,57328,DOUGLAS,0.045000,0.045000,0.000000,0,0,1
SD,57329,"CHARLES MIX",0.045000,0.045000,0.000000,0,0,1
SD,57330,DOUGLAS,0.045000,0.045000,0.000000,0,0,1
SD,57331,HUTCHINSON,0.045000,0.045000,0.000000,0,0,1
SD,57332,EMERY,0.045000,0.065000,0,0.020000,0,1
SD,57334,ETHAN,0.045000,0.065000,0,0.020000,0,1
SD,57335,GREGORY,0.045000,0.045000,0.000000,0,0,1
SD,57337,MINER,0.045000,0.045000,0.000000,0,0,1
SD,57339,"BUFFALO CO CROW CREEK",0.000000,0.045000,0.000000,0,0.045000,2
SD,57340,HANSON,0.045000,0.045000,0.000000,0,0,1
SD,57341,BUFFALO,0.045000,0.045000,0.000000,0,0,2
SD,57342,"CHARLES MIX",0.045000,0.045000,0.000000,0,0,2
SD,57344,DOUGLAS,0.045000,0.045000,0.000000,0,0,1
SD,57345,HYDE,0.045000,0.045000,0.000000,0,0,3
SD,57346,BUFFALO,0.045000,0.045000,0.000000,0,0,1
SD,57348,BEADLE,0.045000,0.045000,0.000000,0,0,2
SD,57349,HOWARD,0.045000,0.065000,0,0.020000,0,4
SD,57350,"HURON BUSINESS IMPROVEMENT DISTRICT NO. 1",0.045000,0.065000,0.000000,0.020000,0.000000,5
SD,57353,KINGSBURY,0.045000,0.045000,0.000000,0,0,4
SD,57354,HUTCHINSON,0.045000,0.045000,0.000000,0,0,1
SD,57355,KIMBALL,0.045000,0.065000,0,0.020000,0,2
SD,57356,"CHARLES MIX",0.045000,0.045000,0.000000,0,0,2
SD,57359,SANBORN,0.045000,0.045000,0.000000,0,0,2
SD,57361,"BON HOMME",0.045000,0.045000,0.000000,0,0,1
SD,57362,MILLER,0.045000,0.065000,0,0.020000,0,1
SD,57363,DAVISON,0.045000,0.045000,0.000000,0,0,1
SD,57364,DOUGLAS,0.045000,0.045000,0.000000,0,0,2
SD,57365,OACOMA,0.045000,0.065000,0,0.020000,0,1
