State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
VT,05001,HARTFORD,0.060000,0.060000,0,0.000000,0,3
VT,05009,HARTFORD,0.060000,0.060000,0,0.000000,0,1
VT,05030,WEATHERSFIELD,0.060000,0.060000,0.000000,0.000000,0,1
VT,05031,BARNARD,0.060000,0.060000,0.000000,0.000000,0,1
VT,05032,BETHEL,0.060000,0.060000,0.000000,0.000000,0,4
VT,05033,BRADFORD,0.060000,0.060000,0.000000,0.000000,0,3
VT,05034,BRIDGEWATER,0.060000,0.060000,0.000000,0.000000,0,2
VT,05035,BRIDGEWATER,0.060000,0.060000,0.000000,0.000000,0,3
VT,05036,BROOKFIELD,0.060000,0.060000,0.000000,0.000000,0,2
VT,05037,"WEST WINDSOR",0.060000,0.060000,0.000000,0.000000,0,1
VT,05038,CHELSEA,0.060000,0.060000,0.000000,0.000000,0,1
VT,05039,CORINTH,0.060000,0.060000,0.000000,0.000000,0,6
VT,05040,CORINTH,0.060000,0.060000,0.000000,0.000000,0,1
VT,05041,RANDOLPH,0.060000,0.060000,0.000000,0.000000,0,3
VT,05042,RYEGATE,0.060000,0.060000,0.000000,0.000000,0,1
VT,05043,THETFORD,0.060000,0.060000,0.000000,0.000000,0,1
VT,05045,FAIRLEE,0.060000,0.060000,0.000000,0.000000,0,2
VT,05046,GROTON,0.060000,0.060000,0.000000,0.000000,0,1
VT,05047,HARTFORD,0.060000,0.060000,0,0.000000,0,1
VT,05048,HARTLAND,0.060000,0.060000,0.000000,0.000000,0,1
VT,05049,HARTLAND,0.060000,0.060000,0.000000,0.000000,0,1
VT,05050,BARNET,0.060000,0.060000,0.000000,0.000000,0,1
VT,05051,NEWBURY,0.060000,0.060000,0.000000,0.000000,0,2
VT,05052,HARTLAND,0.060000,0.060000,0.000000,0.000000,0,1
VT,05053,POMFRET,0.060000,0.060000,0.000000,0.000000,0,1
VT,05054,THETFORD,0.060000,0.060000,0.000000,0.000000,0,1
VT,05055,NORWICH,0.060000,0.060000,0.000000,0.000000,0,1
VT,05056,PLYMOUTH,0.060000,0.060000,0.000000,0.000000,0,1
VT,05058,THETFORD,0.060000,0.060000,0.000000,0.000000,0,1
VT,05059,HARTFORD,0.060000,0.060000,0,0.000000,0,1
VT,05060,RANDOLPH,0.060000,0.060000,0.000000,0.000000,0,4
VT,05061,RANDOLPH,0.060000,0.060000,0.000000,0.000000,0,1
VT,05062,READING,0.060000,0.060000,0.000000,0.000000,0,4
VT,05065,SHARON,0.060000,0.060000,0.000000,0.000000,0,1
