State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
WI,53001,SHEBOYGAN,0.050000,0.055000,0.005000,0,0.000000,1
WI,53002,WASHINGTON,0.050000,0.056000,0.005000,0,0.001000,1
WI,53003,DODGE,0.050000,0.055000,0.005000,0,0.000000,1
WI,53004,"OZAUKEE COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
WI,53005,BROOKFIELD,0.050000,0.051000,0.000000,0.000000,0.001000,1
WI,53006,DODGE,0.050000,0.055000,0.005000,0,0.000000,2
WI,53007,WAUKESHA,0.050000,0.051000,0.000000,0,0.001000,1
WI,53008,BROOKFIELD,0.050000,0.051000,0.000000,0.000000,0.001000,1
WI,53010,"FOND DU LAC",0.050000,0.055000,0.005000,0,0.000000,1
WI,53011,SHEBOYGAN,0.050000,0.055000,0.005000,0,0.000000,1
WI,53012,"CEDARBURG ",0.050000,0.056000,0.005000,0.000000,0.001000,1
WI,53013,SHEBOYGAN,0.050000,0.055000,0.005000,0,0.000000,1
WI,53014,"CHILTON ",0.050000,0.055000,0.005000,0.000000,0,1
WI,53015,MANITOWOC,0.050000,0.050000,0.000000,0,0,1
WI,53016,DODGE,0.050000,0.055000,0.005000,0,0.000000,1
WI,53017,"WASHINGTON COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
WI,53018,"DELAFIELD ",0.050000,0.051000,0.000000,0.000000,0.001000,1
WI,53019,"FOND DU LAC",0.050000,0.055000,0.005000,0,0.000000,1
WI,53020,SHEBOYGAN,0.050000,0.055000,0.005000,0,0.000000,1
WI,53021,"BASEBALL STADIUM DISTRICT OZAUKEE CO",0.050000,0.056000,0.005000,0,0.001000,2
WI,53022,"WASHINGTON COUNTY",0.050000,0.056000,0.005000,0,0.001000,2
WI,53023,SHEBOYGAN,0.050000,0.055000,0.005000,0,0.000000,1
WI,53024,"OZAUKEE COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
WI,53026,SHEBOYGAN,0.050000,0.055000,0.005000,0,0.000000,1
WI,53027,"HARTFORD ",0.050000,0.056000,0.005000,0.000000,0.001000,1
WI,53029,WAUKESHA,0.050000,0.051000,0.000000,0,0.001000,2
WI,53031,SHEBOYGAN,0.050000,0.055000,0.005000,0,0.000000,1
WI,53032,"HORICON ",0.050000,0.055000,0.005000,0.000000,0,1
WI,53033,"WASHINGTON COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
WI,53034,DODGE,0.050000,0.055000,0.005000,0,0.000000,1
WI,53035,DODGE,0.050000,0.055000,0.005000,0,0.000000,1
WI,53036,JEFFERSON,0.050000,0.055000,0.005000,0,0.000000,1
WI,53037,"WASHINGTON COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
WI,53038,"JEFFERSON COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53039,JUNEAU,0.050000,0.055000,0.005000,0.000000,0,1
WI,53040,"WASHINGTON COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
WI,53042,MANITOWOC,0.050000,0.050000,0.000000,0,0.000000,1
WI,53044,"SHEBOYGAN COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53045,BROOKFIELD,0.050000,0.051000,0.000000,0.000000,0.001000,1
WI,53046,WAUKESHA,0.050000,0.051000,0.000000,0,0.001000,1
WI,53047,DODGE,0.050000,0.055000,0.005000,0,0.000000,1
WI,53048,"DODGE COUNTY",0.050000,0.055000,0.005000,0,0,2
WI,53049,"FOND DU LAC",0.050000,0.055000,0.005000,0,0.000000,1
WI,53050,MAYVILLE,0.050000,0.055000,0.005000,0.000000,0,1
WI,53051,WAUKESHA,0.050000,0.051000,0.000000,0,0.001000,1
WI,53052,WAUKESHA,0.050000,0.051000,0.000000,0,0.001000,1
WI,53056,WAUKESHA,0.050000,0.051000,0.000000,0,0.001000,1
WI,53057,"FOND DU LAC COUNTY",0.050000,0.055000,0.005000,0,0,1
