State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
WV,24701,BLUEFIELD,0.060000,0.070000,0.000000,0.010000,0,8
WV,24712,MERCER,0.060000,0.060000,0.000000,0,0,1
WV,24714,MERCER,0.060000,0.060000,0.000000,0,0,1
WV,24715,MERCER,0.060000,0.060000,0.000000,0,0,1
WV,24716,FAYETTE,0.060000,0.060000,0.000000,0,0,1
WV,24719,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24724,BRAMWELL,0.060000,0.060000,0.000000,0.000000,0,2
WV,24726,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24729,MERCER,0.060000,0.060000,0.000000,0,0,1
WV,24731,MERCER,0.060000,0.060000,0.000000,0,0,1
WV,24732,MERCER,0.060000,0.060000,0.000000,0,0,1
WV,24733,MERCER,0.060000,0.060000,0.000000,0,0,1
WV,24736,MATOAKA,0.060000,0.060000,0.000000,0.000000,0,3
WV,24737,MERCER,0.060000,0.060000,0.000000,0,0,1
WV,24738,MERCER,0.060000,0.060000,0.000000,0,0,1
WV,24739,PRINCETON,0.060000,0.070000,0.000000,0.010000,0,2
WV,24740,MERCER,0.060000,0.060000,0.000000,0,0,3
WV,24747,MERCER,0.060000,0.060000,0.000000,0,0,3
WV,24801,WELCH,0.060000,0.060000,0.000000,0.000000,0,9
WV,24808,ANAWALT,0.060000,0.060000,0.000000,0.000000,0,2
WV,24811,MCDOWELL,0.060000,0.060000,0.000000,0,0,2
WV,24813,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24815,MCDOWELL,0.060000,0.060000,0.000000,0,0,3
WV,24816,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24817,BRADSHAW,0.060000,0.060000,0.000000,0.000000,0,1
WV,24818,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24822,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24823,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24826,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24827,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24828,MCDOWELL,0.060000,0.060000,0.000000,0,0,2
WV,24830,GARY,0.060000,0.060000,0.000000,0.000000,0,2
WV,24831,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24834,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24836,GARY,0.060000,0.060000,0.000000,0.000000,0,1
WV,24839,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24843,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24844,IAEGER,0.060000,0.060000,0.000000,0.000000,0,2
WV,24845,LOGAN,0.060000,0.060000,0.000000,0,0,1
WV,24846,LOGAN,0.060000,0.060000,0.000000,0,0,1
WV,24847,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24848,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24849,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24850,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24851,LOGAN,0.060000,0.060000,0.000000,0,0,1
WV,24853,KIMBALL,0.060000,0.060000,0.000000,0.000000,0,2
WV,24854,LOGAN,0.060000,0.060000,0.000000,0,0,1
WV,24855,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24857,WYOMING,0.060000,0.060000,0.000000,0,0,2
WV,24859,WYOMING,0.060000,0.060000,0.000000,0,0,2
WV,24860,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24861,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24862,LOGAN,0.060000,0.060000,0.000000,0,0,1
WV,24866,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24867,FAYETTE,0.060000,0.060000,0.000000,0,0,1
WV,24868,MCDOWELL,0.060000,0.060000,0.000000,0,0,8
WV,24869,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24870,OCEANA,0.060000,0.060000,0.000000,0.000000,0,4
WV,24871,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24872,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24873,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24874,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24878,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24879,MCDOWELL,0.060000,0.060000,0.000000,0,0,2
WV,24880,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24881,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24882,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24884,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24887,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24888,GARY,0.060000,0.060000,0.000000,0.000000,0,1
WV,24892,MCDOWELL,0.060000,0.060000,0.000000,0,0,4
WV,24894,MCDOWELL,0.060000,0.060000,0.000000,0,0,1
WV,24895,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24898,WYOMING,0.060000,0.060000,0.000000,0,0,1
WV,24901,GREENBRIER,0.060000,0.060000,0.000000,0,0,1
WV,24902,GREENBRIER,0.060000,0.060000,0.000000,0,0,1
WV,24910,ALDERSON,0.060000,0.060000,0.000000,0.000000,0,2
WV,24915,GREENBRIER,0.060000,0.060000,0.000000,0,0,1
WV,24916,GREENBRIER,0.060000,0.060000,0.000000,0,0,2
WV,24918,FAYETTE,0.060000,0.060000,0.000000,0,0,1
WV,24920,BARBOUR,0.060000,0.060000,0.000000,0,0,1
WV,24924,GREENBRIER,0.060000,0.060000,0.000000,0,0,1
WV,24925,GREENBRIER,0.060000,0.060000,0.000000,0,0,1
WV,24927,GREENBRIER,0.060000,0.060000,0.000000,0,0,2
WV,24931,GREENBRIER,0.060000,0.060000,0.000000,0,0,3
WV,24934,GREENBRIER,0.060000,0.060000,0.000000,0,0,1
WV,24935,SUMMERS,0.060000,0.060000,0.000000,0,0,1
WV,24938,GREENBRIER,0.060000,0.060000,0.000000,0,0,3
WV,24941,MONROE,0.060000,0.060000,0.000000,0,0,2
WV,24943,GREENBRIER,0.060000,0.060000,0.000000,0,0,1
