country,state,zipcode,tax_region_name,RiskLevel,state_rate,county_rate,city_rate,special_rate,combined_rate
US,WY,82001,CHEYENNE,1,4,2,0,0,6
US,WY,82002,CHEYENNE,1,4,2,0,0,6
US,WY,82003,CHEYENNE,1,4,2,0,0,6
US,WY,82005,LARAMIE COUNTY,1,4,2,0,0,6
US,WY,82006,CHEYENNE,1,4,2,0,0,6
US,WY,82007,LARAMIE COUNTY,1,4,2,0,0,6
US,WY,82009,CHEYENNE,3,4,2,0,0,6
US,WY,82010,CHEYENNE,1,4,2,0,0,6
US,WY,82050,LARAMIE COUNTY,1,4,2,0,0,6
US,WY,82051,ALBANY COUNTY,3,4,2,0,0,6
US,WY,82052,ALBANY COUNTY,1,4,2,0,0,6
US,WY,82053,LARAMIE COUNTY,2,4,2,0,0,6
US,WY,82054,LARAMIE COUNTY,1,4,2,0,0,6
US,WY,82055,ALBANY COUNTY,1,4,2,0,0,6
US,WY,82058,ALBANY COUNTY,2,4,2,0,0,6
US,WY,82059,LARAMIE COUNTY,3,4,2,0,0,6
US,WY,82060,LARAMIE COUNTY,1,4,2,0,0,6
US,WY,82061,LARAMIE COUNTY,1,4,2,0,0,6
US,WY,82063,ALBANY COUNTY,3,4,2,0,0,6
US,WY,82070,LARAMIE,4,4,2,0,0,6
US,WY,82071,LARAMIE,1,4,2,0,0,6
US,WY,82072,LARAMIE,5,4,2,0,0,6
US,WY,82081,LARAMIE COUNTY,1,4,2,0,0,6
US,WY,82082,LARAMIE COUNTY,1,4,2,0,0,6
US,WY,82083,ROCK RIVER,3,4,2,0,0,6
US,WY,82084,ALBANY COUNTY,1,4,2,0,0,6
US,WY,82190,TETON COUNTY,3,4,2,0,0,6
US,WY,82201,WHEATLAND,3,4,2,0,0,6
US,WY,82210,CHUGWATER,2,4,2,0,0,6
US,WY,82212,GOSHEN COUNTY,1,4,1.25,0,0,5.25
US,WY,82213,PLATTE COUNTY,1,4,2,0,0,6
US,WY,82214,PLATTE COUNTY,1,4,2,0,0,6
US,WY,82215,HARTVILLE,2,4,2,0,0,6
US,WY,82217,GOSHEN COUNTY,1,4,1.25,0,0,5.25
US,WY,82218,GOSHEN COUNTY,1,4,1.25,0,0,5.25
US,WY,82219,GOSHEN COUNTY,1,4,1.25,0,0,5.25
US,WY,82221,GOSHEN COUNTY,1,4,1.25,0,0,5.25
US,WY,82222,NIOBRARA COUNTY,1,4,2,0,0,6
US,WY,82223,GOSHEN COUNTY,2,4,1.25,0,0,5.25
US,WY,82224,CONVERSE COUNTY,1,4,1,0,0,5
US,WY,82225,NIOBRARA COUNTY,1,4,2,0,0,6
US,WY,82227,NIOBRARA COUNTY,1,4,2,0,0,6
US,WY,82229,CONVERSE COUNTY,1,4,1,0,0,5
US,WY,82240,TORRINGTON,2,4,1.25,0,0,5.25
US,WY,82242,VAN TASSELL,1,4,2,0,0,6
